Datetime,Serving_Cell_Id, Call_Id, uePhr
2025-02-27 05:33:46.576,6436178,828964691,30,
2025-02-27 05:33:46.608,6436098,15941149,35,
2025-02-27 05:33:46.616,6436238,15941149,255,
2025-02-27 05:33:46.672,6436097,15941242,29,
2025-02-27 05:33:46.685,6436238,15941248,19,
2025-02-27 05:33:46.739,6436097,15886772,29,
2025-02-27 05:33:46.761,6436098,15886780,12,
2025-02-27 05:33:46.853,6436098,15886161,43,
2025-02-27 05:33:46.919,6436098,829019569,6,
2025-02-27 05:33:46.919,6436138,829019569,255,
2025-02-27 05:33:46.957,6436098,15796898,27,
2025-02-27 05:33:47.019,6436098,15797009,12,
2025-02-27 05:33:47.015,6436238,15797009,255,
2025-02-27 05:33:47.039,6436238,16102365,31,
2025-02-27 05:33:47.073,6436098,15796747,26,
2025-02-27 05:33:47.193,6436178,16168836,28,
2025-02-27 05:33:47.314,6436098,15797021,35,
2025-02-27 05:33:47.398,6436238,828963725,35,
2025-02-27 05:33:47.484,6436098,16291321,30,
2025-02-27 05:33:47.606,6436097,15797010,6,
2025-02-27 05:33:47.594,6436247,15797010,255,
2025-02-27 05:33:47.622,6436097,15886790,30,
2025-02-27 05:33:47.627,6436097,16291335,34,
2025-02-27 05:33:47.769,6436097,16291244,28,
2025-02-27 05:33:47.781,6436178,828964839,28,
2025-02-27 05:33:47.888,6436096,829019519,19,
2025-02-27 05:33:47.883,6436238,829019519,255,
2025-02-27 05:33:47.889,6436096,16168810,40,
2025-02-27 05:33:47.982,6436098,15797011,4,
2025-02-27 05:33:48.103,6436238,15796989,30,
2025-02-27 05:33:48.143,6436237,16291313,25,
2025-02-27 05:33:48.275,6436098,829019565,9,
2025-02-27 05:33:48.308,6436097,15886708,33,
2025-02-27 05:33:48.315,6436098,15797012,13,
2025-02-27 05:33:48.334,6436238,828963169,33,
2025-02-27 05:33:48.411,6436097,15941215,11,
2025-02-27 05:33:48.437,6436098,15941267,33,
2025-02-27 05:33:48.456,6436247,829019505,27,
2025-02-27 05:33:48.538,6436247,16291030,20,
2025-02-27 05:33:48.587,6436096,829019575,21,
2025-02-27 05:33:48.635,6436097,16168846,28,
2025-02-27 05:33:48.633,6436238,16168813,33,
2025-02-27 05:33:48.698,6436097,15886797,14,
2025-02-27 05:33:48.807,6436098,829019519,7,
2025-02-27 05:33:48.833,6436098,16168840,15,
2025-02-27 05:33:48.829,6436238,16168840,255,
2025-02-27 05:33:48.908,6436098,15886792,29,
2025-02-27 05:33:48.982,6436096,829019566,33,
2025-02-27 05:33:49.026,6436238,16168841,26,
2025-02-27 05:33:49.343,6436098,16168748,3,
2025-02-27 05:33:49.460,6436137,15941103,23,
2025-02-27 05:33:49.496,6436247,16291338,255,
2025-02-27 05:33:49.509,6436098,16291338,31,
2025-02-27 05:33:49.504,6436238,16291338,255,
2025-02-27 05:33:49.660,6436238,15940662,31,
2025-02-27 05:33:49.834,6436097,15886794,40,
2025-02-27 05:33:49.988,6436098,16168693,50,
2025-02-27 05:33:50.027,6436096,16291340,33,
2025-02-27 05:33:50.071,6436098,828964598,37,
2025-02-27 05:33:50.113,6436238,15796985,34,
2025-02-27 05:33:50.223,6436238,16291341,11,
2025-02-27 05:33:50.517,6436096,829019519,23,
2025-02-27 05:33:50.522,6436098,15941270,21,
2025-02-27 05:33:50.546,6436097,828962127,12,
2025-02-27 05:33:50.608,6436096,829019503,32,
2025-02-27 05:33:50.598,6436237,828964380,32,
2025-02-27 05:33:50.598,6436247,828964380,255,
2025-02-27 05:33:50.609,6436238,16291333,33,
2025-02-27 05:33:50.674,6436096,15886757,33,
2025-02-27 05:33:50.712,6436238,15940897,33,
2025-02-27 05:33:50.733,6436247,15941183,31,
2025-02-27 05:33:50.741,6436238,15941183,255,
2025-02-27 05:33:50.811,6436098,16168844,13,
2025-02-27 05:33:50.835,6436137,828964612,26,
2025-02-27 05:33:50.970,6436238,15941271,17,
2025-02-27 05:33:51.004,6436238,15885154,29,
2025-02-27 05:33:51.050,6436098,15886403,29,
2025-02-27 05:33:51.083,6436138,828964706,16,
2025-02-27 05:33:51.140,6436097,15941255,29,
2025-02-27 05:33:51.385,6436238,16168835,23,
2025-02-27 05:33:51.406,6436098,16291343,17,
2025-02-27 05:33:51.407,6436096,15941272,21,
2025-02-27 05:33:51.418,6436098,16168850,8,
2025-02-27 05:33:51.413,6436238,16168850,255,
2025-02-27 05:33:51.431,6436098,828959225,31,
2025-02-27 05:33:51.447,6436237,15941273,18,
2025-02-27 05:33:51.477,6436098,829019519,7,
2025-02-27 05:33:51.480,6436238,15796969,29,
2025-02-27 05:33:51.631,6436097,15796912,33,
2025-02-27 05:33:51.728,6436098,15941149,38,
2025-02-27 05:33:51.737,6436238,15941149,255,
