Datetime,Serving_Cell_Id, Call_Id, uePhr,dlWidebandCqiCode0,dlWidebandCqiCode1,ulDmrsSinr,taValue,preambleTaValue,ulSrsSinr
2025-02-27 05:30:59.612,6436098,15796722,26,9,255,2385,16,48,2147483647,
2025-02-27 05:30:59.610,6436238,15886571,18,9,255,2170,16,36,934,
2025-02-27 05:30:59.634,6436096,15940997,27,9,9,1572,16,24,2147483647,
2025-02-27 05:30:59.640,6436178,16291045,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.640,6436098,16291045,29,7,9,2121,0,36,2147483647,
2025-02-27 05:30:59.636,6436238,16291045,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.683,6436097,16168564,24,7,7,643,64,84,2147483647,
2025-02-27 05:30:59.683,6436137,16168564,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.772,6436098,15886562,15,8,5,609,32,48,2147483647,
2025-02-27 05:30:59.769,6436238,15886562,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.786,6436097,16291054,11,8,6,735,48,60,2147483647,
2025-02-27 05:30:59.789,6436238,15794397,37,14,14,2706,64,48,1645,
